"table_name","column_name","foreign_table_name","foreign_column_name"
"favorites","profile_id","profiles","id"
"favorites","golfclub_id","golfclub","global_id"
"golfclub_technology","technology_id","technologyintegration","technology_id"
"golfcourse","club_id","golfclub","global_id"
"golfcourse_obstacles","obstacle_id","obstacle_types","obstacle_id"
"golfer_game_history","golfer_id","golfer_profile","golfer_id"
"golfer_profile","preferred_tees","tees","tee_name"
"golfer_saved_courses","golfer_id","golfer_profile","golfer_id"
"identities","user_id","users","id"
"mfa_amr_claims","session_id","sessions","id"
"mfa_challenges","factor_id","mfa_factors","id"
"mfa_factors","user_id","users","id"
"objects","bucket_id","buckets","id"
"one_time_tokens","user_id","users","id"
"profiles","user_id","users","id"
"profiles","id","users","id"
"profiles","club_id","golfclub","global_id"
"refresh_tokens","session_id","sessions","id"
"s3_multipart_uploads","bucket_id","buckets","id"
"s3_multipart_uploads_parts","upload_id","s3_multipart_uploads","id"
"s3_multipart_uploads_parts","bucket_id","buckets","id"
"saml_providers","sso_provider_id","sso_providers","id"
"saml_relay_states","flow_state_id","flow_state","id"
"saml_relay_states","sso_provider_id","sso_providers","id"
"sessions","user_id","users","id"
"sso_domains","sso_provider_id","sso_providers","id"
